review_id,shoe_id,critic_id,rating,date,type,description
1,1,1,8.6,2025-05-15,expert_overall,"The Reebok Engine A does not disappoint. If you can get the fit right, the performance feels fantastic."
2,1,2,8.0,2025-05-15,expert_overall,"Kudos to Reebok for moving in the right direction with the Engine A. I like the comfort, and the traction plays well on clean courts."
3,1,3,8.0,2025-05-15,expert_overall,"The Reebok Engine A is a solid performer, especially for a comeback model. I like the cushioning, and the traction is consistent."
4,1,4,8.2,2025-06-02,user_overall,
5,1,1,8.0,2025-05-15,traction,"The traction picks up dust quickly, but the performance plays well if you wipe regularly."
6,1,2,8.0,2025-05-15,traction,"On a clean court, the traction performs nicely. My only problem is the dust pickup. I had to wipe often."
7,1,3,8.0,2025-05-15,traction,Traction works well for me. The performance is consistent.
8,1,1,9.0,2025-05-15,cushion,"I like the tough top-loaded shank and the Energy Return System foam. The shock absorption is impressive, and there's a bit of bounce."
9,1,2,8.0,2025-05-15,cushion,"I like the insole, and the heel is plush. The ERS foam provides plenty of impact protection. I wish it were bouncier, though."
10,1,3,9.0,2025-05-15,cushion,"The cushioning feels delicious. It offers softness, bounce, and impact protection."
11,1,1,9.0,2025-05-15,materials,"The upper is a lot of TPU mesh and panelling, and the shoe heats up a lot. However, I love the comfort."
12,1,2,8.0,2025-05-15,materials,There are a lot of synthetic materials. It feels structured and comfortable.
13,1,3,8.0,2025-05-15,materials,"The shoe is heavier than average but lighter than expected. The materials are thinner and softer in hand, and the breathability is decent."
14,1,1,9.0,2025-05-15,support,"Heel slippage is mild, but the base is stable."
15,1,2,8.0,2025-05-15,support,"Heel containment and lockdown are good but not excellent. There's room for improvement. However, balance is a strength."
16,1,3,7.0,2025-05-15,support,The lateral containment and lockdown could be better. I had to tighten my laces regularly.
17,1,1,8.0,2025-05-15,fit,The fit is the biggest crux of the shoe. They feel oversized. Need to go down a size to get a good fit.
18,1,2,8.0,2025-05-15,fit,The shoe fits me well.
19,1,3,8.0,2025-05-15,fit,Going half a size down helped me reduce the length and heel slippage.
20,1,1,0.0,2025-05-15,outdoor,This outsole is not the most durable.
21,1,2,50.0,2025-05-15,outdoor,The rubber is thick enough for outdoor usage.
22,1,2,2,2025-05-15,width,I suggest going up half a size if you have wide feet.
23,1,3,3,2025-05-15,width,This shoe is comfortable for wide feet.
24,1,2,3,2025-05-15,size,Go true to size.
25,1,3,4,2025-05-15,size,Go half a size down.
26,2,3,8.4,2025-05-15,expert_overall,I like the performance of the Jordan Luka 4. It has the best cushioning and traction in his signature line.
27,2,5,8.2,2025-05-15,expert_overall,The Jordan Luka 4 feels more refined than the Luka 3. I appreciate the tweaks and upgrades to the support and cushioning.
28,2,6,8.2,2025-05-15,expert_overall,"The Jordan Luka 4 is a solid shoe, but doesn't have the best tech. The traction performs well on clean courts, and the support is secure."
29,2,7,8.2,2025-05-15,expert_overall,"The Jordan Luka 4 is the best signature shoe in the line. The traction and support are impressive, but I wish the Zoom Air bag felt better."
30,2,8,8.2,2025-06-08,expert_overall,"The Jordan Luka 4 is the best shoe in his line. It's a reliable and comfortable performer. The playability is good thanks to the weight, cushioning, and fit."
31,2,9,8.0,2025-05-15,expert_overall,"There are plenty of upgrades and improvements to the Jordan Luka 4, but the support takes a step back."
32,2,10,7.8,2025-05-15,expert_overall,"The Jordan Luka 4 is a responsive, low-to-the-ground performance shoe. The cushioning feels comfortable, and I like the snug fit."
33,2,1,7.6,2025-05-15,expert_overall,"If you liked the Luka 1, you're going to like the Luka 4. It offers decent cushioning, with the stability of the original."
34,2,3,9.0,2025-05-15,traction,"Traction performance is surprisingly good. It went beyond my expectations, and dust pickup is only moderate."
35,2,5,9.0,2025-05-15,traction,Traction is my favourite feature. I like that Jordan Brand isn't trying to do too much. The herringbone works.
36,2,6,8.0,2025-05-15,traction,The traction performs very well on clean courts. You won't have issues unless you play on dust.
37,2,7,8.5,2025-05-15,traction,"The traction pattern plays well on clean courts. It collects dust over time and becomes slippery, so make sure to wipe it."
38,2,8,8.0,2025-06-08,traction,"I was impressed with the traction. It's not S-tier, but it's solid."
39,2,9,9.0,2025-05-15,traction,Traction remains a standout performance feature. I didn't have issues on dusty courts either.
40,2,10,8.0,2025-05-15,traction,"The outsole performs better, but not amazingly. It needs an initial break-in period. Performance on dust is not the best."
41,2,1,8.0,2025-05-15,traction,"The herringbone tread is sticky, and the grip performs well before dust pickup. Make sure to wipe to keep the rubber clean."
42,2,3,9.0,2025-05-15,cushion,The cushioning feels delicious. I like how the Cushlon feels. It feels softer on the feet and has more compression.
43,2,5,8.0,2025-05-15,cushion,"The Cushlon foam is nothing new, but I like the feeling of the forefoot Zoom Air unit. This is a comfortable setup."
44,2,6,8.0,2025-05-15,cushion,"The heel cushioning feels soft and protective, and the forefoot is low to the ground and responsive. I don't feel the Zoom unit much."
45,2,7,8.0,2025-05-15,cushion,"The Cushlon foam feels soft and plush, but the Zoom Air bag is muted. I'm not happy with the Zoom implementation."
46,2,8,8.0,2025-06-08,cushion,"There's a lot more cushioning in this model. It's a comfortable ride, but the lack of impact protection is a downside."
47,2,9,8.0,2025-05-15,cushion,"The cushioning setup feels sleeker and shiftier. The heel cushioning could be better, and the Zoom Air under the forefoot is in a weird spot, though."
48,2,10,8.0,2025-05-15,cushion,"The court feel with this cushioning is outstanding, and the impact protection is decent."
49,2,1,8.0,2025-05-15,cushion,"The Cushlon foam feels dense and springy. You're not getting much court feel, but that stability is solid."
50,2,3,8.0,2025-05-15,materials,"The materials are softer and comfortable, but the performance is less rigid."
51,2,5,8.0,2025-05-15,materials,"The materials are nothing special. It's soft and flexible, but nothing stands out."
52,2,6,8.0,2025-05-15,materials,"The textile feels decent but not premium. However, it gets the job done performance-wise."
53,2,7,7.0,2025-05-15,materials,Most of the materials are synthetic. It feels thin and breaks in quickly.
54,2,8,8.0,2025-06-08,materials,"I didn't like the materials, but they do the job well."
55,2,9,8.0,2025-05-15,materials,The upper is softer and feels comfortable. It's way smoother and less restrictive.
56,2,10,7.0,2025-05-15,materials,"I don't like the feel of the materials. The quality looks poor, but the performance is decent."
57,2,1,7.0,2025-05-15,materials,"I like the tongue padding, and the materials do a decent job of handling heat."
58,2,3,8.0,2025-05-15,support,Torsional stability takes a slight step back because of the softer upper. The shoe is still stable and supportive.
59,2,5,8.0,2025-05-15,support,The Isoplate feels more defined. It works and is more subtle.
60,2,6,9.0,2025-05-15,support,This shoe has no support or heel containment issues. The materials also do a nice job of planting your feet on the footbed.
61,2,7,9.0,2025-05-15,support,"The support covers all types of players, especially the Iso plate."
62,2,8,8.0,2025-06-08,support,"The lace pressure for lockdown could be better, but the rest of the support feels good."
63,2,9,7.0,2025-05-15,support,"I think the support took a step back. The iso plate offers decent support, but I'm not a fan of how flexible the midfoot feels."
64,2,10,8.0,2025-05-15,support,"If you require torsional support, this shoe is not the best option. The lateral containment feels nice, and the support is adequate."
65,2,1,8.0,2025-05-15,support,The Isoplate and lacing setup help offer stability and containment.
66,2,3,8.0,2025-05-15,fit,The fit feels roomy and comfortable. There's no squeezing or pinching.
67,2,5,8.0,2025-05-15,fit,"The fit is slightly snug and tight, but it's manageable."
68,2,6,8.0,2025-05-15,fit,The fit is close without much dead space. It's almost a 1-to-1 fit.
69,2,7,8.5,2025-05-15,fit,The fit feels comfortable but slightly small. I like the padding around the shoe.
70,2,8,9.0,2025-06-08,fit,"The shoe broke in fast, and I had no hot spots. I like the comfortable fit—no complaints from me."
